text@kab1991m	@kab1991m	278.999	280.588	ну / не скорее / а отрицательно / да //
text@kab1991m	@kab1991m	281.893	284.899	давай я тебе отвечу так / что для меня человеческая жизнь важнее ВВП //
text@kab1991m	@kab1991m	291.111	297.114	ну это танцплощадка / тут в девяностые / в начале двухтысячных очень было много дискотек / драк //
text@kab1991m	@kab1991m	297.908	299.014	поножовщин и так далее //
text@kab1991m	@kab1991m	299.125	299.912	культовое место //
text@kab1991m	@kab1991m	300.898	305.106	нет / ходили старшаки / я стоял смотрел отсюдова / меня не пускали //
text@kab1991m	@kab1991m	306.811	307.208	да / да //
text@kab1991m	@kab1991m	309.199	313.511	ну это / уэ / и рок / и инди-фолк / и инди-поп чеченский будет //
text@kab1991m	@kab1991m	313.792	321.997	да / это / аа / организовывает Ored Recordings / есть такая группа / ээ / лейбл / точнее / ааа / основанный несколькими людьми / один из них Булат Халилов //
text@kab1991m	@kab1991m	322.195	328.007	они что делают / они ездят по сёлам и записывают этнографически национальную музыку //
text@kab1991m	@kab1991m	328.447	336.179	но не в стиле вот этих лезгинок / которые на каждом углу / а именно с какой-то особенностью / с какой-то историей ии ааа //
text@kab1991m	@kab1991m	336.292	338.81	и это / чцчсц / сродни какому-то даже шаманизму //
text@kab1991m	@kab1991m	339.694	339.872	да //
text@kab1991m	@kab1991m	341.986	342.809	да / именно прогрессив... //
text@yad1986m	@yad1986m	0.0	7.18	когда Антон Долин рецензировал Тесноту / ааа / он / эээ / написал / русское кино боится собственной тени //
text@yad1986m	@yad1986m	7.84	14.69	ээ / ну / он объяснял / почему настолько свежо выглядишь ты со своим фильмом на фоне остального русского кино //
text@yad1986m	@yad1986m	14.79	15.92	ты это чувствуешь ? //
text@yad1986m	@yad1986m	47.691	48.631	с чем ты это связываешь ? //
text@yad1986m	@yad1986m	67.111	67.721	почему ? //
text@yad1986m	@yad1986m	84.935	85.265	а это ? //
text@yad1986m	@yad1986m	106.195	107.495	прекрасное название / да //
text@yad1986m	@yad1986m	119.8	127.55	нет более подходящих декораций / чтобы не узнать / как / в глубоко провинциальном городе Нальчик / можно было / э / так сильно увлечься кино //
text@yad1986m	@yad1986m	157.995	158.235	ага //
text@yad1986m	@yad1986m	162.607	162.907	сколько было ? //
text@yad1986m	@yad1986m	168.007	168.927	ты учился в тот момент ? //
text@yad1986m	@yad1986m	179.167	179.857	то есть не на мента ? //
text@yad1986m	@yad1986m	188.913	189.589	год на веб-сериал ? //
text@yad1986m	@yad1986m	189.906	190.198	а его . . . //
text@yad1986m	@yad1986m	191.297	192.198	и его можно посмотреть ? //
text@yad1986m	@yad1986m	194.47	195.09	тебе стыдно ? //
text@yad1986m	@yad1986m	238.89	239.287	ооо ! //
text@yad1986m	@yad1986m	240.702	247.303	то есть первый фильм человека / который / мм / снимает фильмы / ээмнееоу / которые показывают на Каннском фестивале / это Голый пистолет ? //
text@yad1986m	@yad1986m	253.602	253.994	Пляж ? //
text@yad1986m	@yad1986m	254.795	254.945	о //
text@yad1986m	@yad1986m	261.304	268.453	мы не специально / мы просто / когда шли к машине по улице / которая параллельна центральной / случайно наткнулись на такую картину //
text@yad1986m	@yad1986m	268.707	270.823	как у вас относятся к / э / вот этому человеку ? //
text@yad1986m	@yad1986m	274.005	275.693	как ты относишься к Сталину ? //
text@yad1986m	@yad1986m	277.814	278.787	скорее ? отрицательно //
text@yad1986m	@yad1986m	281.013	281.297	почему ? //
text@yad1986m	@yad1986m	289.895	290.689	это концертный клуб ? //
text@yad1986m	@yad1986m	297.795	297.993	агха //
text@yad1986m	@yad1986m	299.1	299.504	ты ходил ? //
text@yad1986m	@yad1986m	305.116	306.818	и мечтал / чтобы ты тоже там оказался //
text@yad1986m	@yad1986m	307.499	308.697	сегодня тут будет рок-концерт //
text@yad1986m	@yad1986m	339.006	339.304	огхо ! //
text@yad1986m	@yad1986m	339.918	341.812	то есть это прогрессивные музыкальные ребята ? //
words@kab1991m	@kab1991m	18.909	19.424	ааа
words@kab1991m	@kab1991m	19.424	19.485	/
words@kab1991m	@kab1991m	19.485	19.659	м
words@kab1991m	@kab1991m	19.659	19.792	/
words@kab1991m	@kab1991m	19.792	20.503	пфф
words@kab1991m	@kab1991m	20.503	20.603	/
words@kab1991m	@kab1991m	20.603	20.669	/
words@kab1991m	@kab1991m	21.524	21.689	да
words@kab1991m	@kab1991m	21.689	21.854	я
words@kab1991m	@kab1991m	21.854	22.019	не
words@kab1991m	@kab1991m	22.019	22.184	знаю
words@kab1991m	@kab1991m	22.184	22.312	/
words@kab1991m	@kab1991m	22.312	22.432	я
words@kab1991m	@kab1991m	22.432	22.544	так
words@kab1991m	@kab1991m	22.544	22.588	/
words@kab1991m	@kab1991m	22.588	22.774	ес
words@kab1991m	@kab1991m	22.774	22.918	честно
words@kab1991m	@kab1991m	22.918	22.976	/
words@kab1991m	@kab1991m	22.976	23.071	не
words@kab1991m	@kab1991m	23.071	23.493	анализирую
words@kab1991m	@kab1991m	23.493	24.04	российское
words@kab1991m	@kab1991m	24.04	24.26	кино
words@kab1991m	@kab1991m	24.26	24.365	/
words@kab1991m	@kab1991m	24.365	24.549	но
words@kab1991m	@kab1991m	24.549	24.654	я
words@kab1991m	@kab1991m	24.654	24.751	/
words@kab1991m	@kab1991m	24.751	24.824	/
words@kab1991m	@kab1991m	25.204	25.392	могу
words@kab1991m	@kab1991m	25.392	25.652	сказать
words@kab1991m	@kab1991m	25.652	25.943	что
words@kab1991m	@kab1991m	25.943	26.071	/
words@kab1991m	@kab1991m	26.071	26.144	/
words@kab1991m	@kab1991m	26.606	26.899	оч
words@kab1991m	@kab1991m	26.899	27.192	много
words@kab1991m	@kab1991m	27.192	27.485	молодых
words@kab1991m	@kab1991m	27.485	27.778	авторов
words@kab1991m	@kab1991m	27.778	28.074	/
words@kab1991m	@kab1991m	28.074	28.872	которые
words@kab1991m	@kab1991m	28.872	29.168	которые
words@kab1991m	@kab1991m	29.168	29.514	боятся
words@kab1991m	@kab1991m	29.514	29.969	высказываться
words@kab1991m	@kab1991m	29.969	30.066	по
words@kab1991m	@kab1991m	30.066	30.199	к...
words@kab1991m	@kab1991m	30.199	30.609	по
words@kab1991m	@kab1991m	30.609	31.019	каким-то
words@kab1991m	@kab1991m	31.019	31.429	поводам
words@kab1991m	@kab1991m	31.429	31.529	/
words@kab1991m	@kab1991m	31.529	31.606	/
words@kab1991m	@kab1991m	32.126	32.918	социальным
words@kab1991m	@kab1991m	32.918	33.102	/
words@kab1991m	@kab1991m	33.102	34.194	историческим
words@kab1991m	@kab1991m	34.194	34.283	/
words@kab1991m	@kab1991m	34.283	34.769	этническим
words@kab1991m	@kab1991m	34.769	34.849	/
words@kab1991m	@kab1991m	34.849	35.245	неважно
words@kab1991m	@kab1991m	35.245	35.322	/
words@kab1991m	@kab1991m	35.322	35.396	/
words@kab1991m	@kab1991m	35.511	35.562	в
words@kab1991m	@kab1991m	35.562	35.652	нас
words@kab1991m	@kab1991m	35.652	36.107	взращивают
words@kab1991m	@kab1991m	36.107	36.268	какое-то
words@kab1991m	@kab1991m	36.268	36.664	ощущение
words@kab1991m	@kab1991m	36.664	37.104	цензуры
words@kab1991m	@kab1991m	37.104	37.186	/
words@kab1991m	@kab1991m	37.186	37.332	иии
words@kab1991m	@kab1991m	37.332	37.501	/
words@kab1991m	@kab1991m	37.501	37.843	иии
words@kab1991m	@kab1991m	37.843	38.185	/
words@kab1991m	@kab1991m	38.185	38.527	ии
words@kab1991m	@kab1991m	38.527	38.749	/
words@kab1991m	@kab1991m	38.749	38.882	вот
words@kab1991m	@kab1991m	38.882	39.826	этого...
words@kab1991m	@kab1991m	39.826	40.396	периодической
words@kab1991m	@kab1991m	40.396	40.905	оглядки
words@kab1991m	@kab1991m	40.905	41.104	назад
words@kab1991m	@kab1991m	41.104	41.161	/
words@kab1991m	@kab1991m	41.161	41.211	/
words@kab1991m	@kab1991m	42.401	44.023	что
words@kab1991m	@kab1991m	44.023	44.084	/
words@kab1991m	@kab1991m	44.084	44.493	какое-то
words@kab1991m	@kab1991m	44.493	45.012	зашуганное
words@kab1991m	@kab1991m	45.012	45.514	поколение
words@kab1991m	@kab1991m	45.514	45.57	/
words@kab1991m	@kab1991m	45.57	45.721	/
words@kab1991m	@kab1991m	46.291	46.846	немножечко
words@kab1991m	@kab1991m	46.846	46.936	/
words@kab1991m	@kab1991m	46.936	46.991	/
words@kab1991m	@kab1991m	50.801	50.967	да
words@kab1991m	@kab1991m	50.967	51.133	с
words@kab1991m	@kab1991m	51.133	51.772	политическим
words@kab1991m	@kab1991m	51.772	52.347	режимом
words@kab1991m	@kab1991m	52.347	52.465	с
words@kab1991m	@kab1991m	52.465	52.724	/
words@kab1991m	@kab1991m	52.724	52.983	эээ
words@kab1991m	@kab1991m	52.983	53.649	/
words@kab1991m	@kab1991m	53.649	54.084	цензурой
words@kab1991m	@kab1991m	54.084	54.161	/
words@kab1991m	@kab1991m	54.161	54.478	которая
words@kab1991m	@kab1991m	54.478	54.711	вокруг
words@kab1991m	@kab1991m	54.711	54.89	нас
words@kab1991m	@kab1991m	54.89	55.253	происходит
words@kab1991m	@kab1991m	55.253	55.309	/
words@kab1991m	@kab1991m	55.309	55.629	да
words@kab1991m	@kab1991m	55.629	55.739	и
words@kab1991m	@kab1991m	55.739	56.033	просто
words@kab1991m	@kab1991m	56.033	56.092	/
words@kab1991m	@kab1991m	56.092	56.211	/
words@kab1991m	@kab1991m	56.801	56.951	я
words@kab1991m	@kab1991m	56.951	57.201	сомневаюсь
words@kab1991m	@kab1991m	57.201	57.401	/
words@kab1991m	@kab1991m	57.401	57.601	что
words@kab1991m	@kab1991m	57.601	57.718	/
words@kab1991m	@kab1991m	57.718	57.904	например
words@kab1991m	@kab1991m	57.904	58.09	/
words@kab1991m	@kab1991m	58.09	58.276	на
words@kab1991m	@kab1991m	58.276	58.462	Тесноту
words@kab1991m	@kab1991m	58.462	58.648	/
words@kab1991m	@kab1991m	58.648	58.834	ну
words@kab1991m	@kab1991m	58.834	59.025	/
words@kab1991m	@kab1991m	59.025	59.171	так
words@kab1991m	@kab1991m	59.171	59.24	и
words@kab1991m	@kab1991m	59.24	59.34	есть
words@kab1991m	@kab1991m	59.34	59.416	в
words@kab1991m	@kab1991m	59.416	59.621	принципе
words@kab1991m	@kab1991m	59.621	59.698	/
words@kab1991m	@kab1991m	59.698	59.78	на
words@kab1991m	@kab1991m	59.78	60.053	Тесноту
words@kab1991m	@kab1991m	60.053	60.191	не
words@kab1991m	@kab1991m	60.191	60.345	было
words@kab1991m	@kab1991m	60.345	60.874	никаки...
words@kab1991m	@kab1991m	60.874	61.268	никакого
words@kab1991m	@kab1991m	61.268	61.974	госбюджета
words@kab1991m	@kab1991m	61.974	62.056	/
words@kab1991m	@kab1991m	62.056	62.211	/
words@kab1991m	@kab1991m	62.316	62.47	ааа
words@kab1991m	@kab1991m	62.47	62.624	/
words@kab1991m	@kab1991m	62.624	62.778	ну
